author;comment;;;;;;;;;;;;;;;;
@MegaCuantik;kang tidak hanya murid nakal saja yang di masukin barak militer, kumpulan cowok2 setengah cewek, alias waria wajib nih dibikinkan program ke barak militer biar tau jadi diri sebenarnya siapa, sekarang kan marak, tu banyak cowok tingkah nya kyk perempuan ditiktok tiktok?;;;;;;;;;;;;;;;;
@farylauw305;Akhirnya Indonesia ada Pemimpin perubahan yang baik benar semangat Kang Dedi bravoo...;;;;;;;;;;;;;;;;
@annamarlina4676;Saya sangat setuju dgn pendidikan moral n etika, disiplin, yg dilakukan kang DM maunya semua daerah melakukannya.;;;;;;;;;;;;;;;;
@riskiluwaisalqorony1854;Andai aja ada kau jadi preseden pak pas maju ini negara ????;;;;;;;;;;;;;;;;
@MaryaniIskandarMaNizth3adesser;assalamu'alaikum,,, pa gimana caranya agar saya bisa nitipkan anak saya tidak mau sekolah SMP , ikut genk motor sampai motor saya jadi bangke,,, udah segala barang dirumah dijualin,,, buat main slot, sama minum,,, ;;;;;;;;;;;;;;;;
uang saya sering diambil??????;;;;;;;;;;;;;;;;;
dikasih HP dijual;;;" saya sudah ngga sanggup pa??????""";;;;;;;;;;;;;;
@banxpray6011;kpai resah...????;;;;;;;;;;;;;;;;
@dhityadeedoth8665;Pak Dedy, yang cowok2 kemayu sama cewek2 yg tingkah lakunya kaya cowok juga di ikut sertakan pak. Biar kembali ke jalan yang benar.;;;;;;;;;;;;;;;;
@gimnoob;Inilah pendidikan jiwa nasionalisme yg bagus??;;;;;;;;;;;;;;;;
"Sangat mendukung hal seperti ini""";;;;;;;;;;;;;;;;;
@SardikaDiput;Emang KDM manusia setengah wali allah;;;;;;;;;;;;;;;;
@sipriflores;Kalau ada Politisi yang menolak kebijakan seperti ini.;;;;;;;;;;;;;;;;
"Fix itu Politisi yang sengaja memelihara anak nakal supaya gampang di sogok saat pemilu dijadikan alat demi mempertahankan Kekuasaan.""";;;;;;;;;;;;;;;;;
